,none,random,manifold,jem,jemo
abalone,0.0056,0.0107,0.01,0.0,0.009000000000000001
arcene,0.1952,0.2275,0.275,0.0,0.0
arrhythmia,0.2076,0.13,0.0856,,
iris,0.0,0.0,0.0,0.0,0.0
phishing,0.0119,0.0022,0.003,0.005,0.005
moon,0.0008,0.0,0.0,,
sensorless_drive,0.0017,0.0,0.0001,0.003,0.003
segment,0.0491,0.0105,0.0046,0.011000000000000001,0.11900000000000001
htru2,0.0043,0.0,0.0017,,
heart,0.0636,0.1244,0.0324,,
mushroom,0.0,0.0,0.0003,0.0,0.0
wine,0.0431,0.0135,0.0119,0.002,0.013000000000000001
